year,stateabbrev,income,margin_error,fare
2015,MT,49509,1410,191.336705632306
2015,MI,51084,244,225.726486667932
2015,TX,55653,314,214.737561015209
2015,AL,44765,744,231.217527004412
2015,KY,45215,470,234.521352886559
2015,OR,54148,912,198.834811051844
2015,WA,64129,794,205.553569096095
2015,SD,53017,1096,160.916298258895
2015,CO,63909,891,191.970162747603
2015,CA,64500,395,224.763962800955
2015,LA,45727,670,206.932450545014
2015,AR,41995,477,258.813987921924
2015,IL,59588,511,200.685439931853
2015,ME,51494,854,205.842985724234
2015,WY,60214,1582,453.571137566138
2015,OK,48568,514,227.734665443557
2015,ND,60557,1661,171.100451770452
2015,TN,47275,489,224.024404474778
2015,FL,49426,331,192.518161201243
2015,VA,66262,541,246.033766312113
2015,NC,47830,521,234.02902249723
2014,TX,53035,377,230.234531454009
2014,ME,49462,1112,196.989039569727
2014,UT,60922,658,225.837196134405
2014,MI,49847,385,231.972253402151
2014,OR,51075,490,195.781656021523
2014,AR,41262,653,232.937976595745
2014,MT,46328,1217,174.108230088496
2014,NC,46556,381,232.211961892588
2014,VA,64902,624,239.374689677011
2014,TN,44361,561,225.861196539158
2014,KY,42958,697,221.865303291987
2014,NJ,71919,438,107.686918107939
2014,IN,49446,487,231.762373747495
2014,MA,69160,957,222.028019309647
2014,MN,61481,471,237.366293387364
2014,IA,53712,761,209.837242454728
2014,CO,61303,487,193.3745932294
2014,ND,59029,1681,167.050506607929
2014,VT,54166,1724,178.66750371471
2014,PA,53234,420,239.256092061015
2014,AL,42830,598,233.604720285139
2014,DE,59716,1674,110.54
2014,FL,47463,329,203.562034861856
2014,NM,44803,849,210.16366137447
2014,WI,52622,433,203.338780966248
2014,NE,52686,688,211.273221741181
2014,CT,70048,828,218.665925511346
2014,WA,61366,485,205.598230814749
2014,ID,47861,1275,167.650638599476
2014,MS,39680,773,204.705981762918
2014,OH,49308,363,244.376563607037
2014,LA,44555,738,217.084287848678
2014,KS,52504,706,179.359378208785
2014,OK,47529,454,224.325323172844
2014,DC,71648,1996,226.568180947822
2014,SD,50979,1027,158.673409536251
2014,NY,58878,393,251.453475489378
2014,NV,51450,683,197.095583609241
2014,CA,61933,238,225.702932344054
2014,GA,49321,543,227.801465234908
2014,MO,48363,567,216.13140811805
2014,SC,45238,507,185.203531423528
2014,AZ,50068,483,207.916105203852
2014,WY,57055,1983,449.22
2014,IL,57444,429,222.168578606475
2013,LA,44164,869,216.41936686208
2013,IN,47529,516,220.531711715412
2013,CT,67098,1058,221.803046430644
2013,AL,42849,641,224.208821252372
2013,OK,45690,534,216.133913742586
2013,ME,46974,797,184.300400621654
2013,NJ,70165,546,105.964149051072
2013,WI,51467,370,193.542140275491
2013,UT,59770,762,223.018078981388
2013,AR,40511,710,217.953006475486
2013,MO,46931,427,205.028251038687
2013,TN,44297,501,216.801981320155
2013,KY,43399,650,213.648598993724
2013,NM,43872,950,194.514778007321
2013,MA,66768,715,211.982809860135
2013,FL,46036,310,192.542007100465
2013,VT,52578,1561,171.329095725892
2013,IL,56210,403,211.344311692414
2013,MS,37963,1029,178.651243006568
2013,PA,52007,256,225.294118829347
2013,NV,51230,589,188.610778393362
2013,SD,48947,1091,149.589055843408
2013,TX,51704,238,225.985528453405
2013,MN,60702,432,237.190830740364
2013,SC,44163,659,184.93424036195
2013,OH,48081,406,234.179357121815
2013,WA,58405,671,205.607262426364
2013,NY,57369,431,237.088157820189
2013,NE,51440,493,198.733679813401
2013,MT,46972,1140,202.527359550562
2013,ID,46783,930,167.985438209332
2013,NC,45906,424,217.270851084134
2013,WY,58752,1796,416.671068249258
2013,MI,48273,378,225.062184680912
2013,OR,50251,532,194.561155561443
2013,IA,52229,533,200.438469732664
2013,KS,50972,609,183.260244778068
2013,VA,62666,665,222.642173939449
2013,GA,47829,628,211.477484462706
2013,CA,60190,255,220.245053793509
2013,ND,55759,1452,166.324887556222
2013,DC,67572,3383,216.822593322754
2013,CO,58823,808,186.701478619866
2013,AZ,48510,587,201.87346061459
2012,CA,58328,354,211.367365484803
2012,DC,66583,2040,217.918407345585
2012,MS,37095,584,177.556512175962
2012,NE,50723,577,193.73851975052
2012,UT,57049,737,213.702420036635
2012,AL,41574,477,208.799887763482
2012,ID,45489,929,166.927235535236
2012,KS,50241,520,167.362480719794
2012,OR,49161,807,194.028221679025
2012,WI,51059,321,183.247160432884
2012,ND,53585,1546,171.16462253194
2012,FL,45040,345,187.711635383427
2012,MN,58906,668,234.806654402846
2012,CT,67276,865,225.874368185671
2012,AR,40112,497,208.536297839357
2012,WY,54901,1491,385.64
2012,IN,46974,421,216.756410141167
2012,NC,45150,391,211.155272395892
2012,AZ,47826,604,191.80541165252
2012,TX,50740,267,225.440794028193
2012,MI,46859,331,216.043490094607
2012,ME,46709,898,171.222032359905
2012,VT,52977,1259,178.573716766142
2012,OK,44312,462,217.605809934435
2012,KY,41724,419,210.752375440362
2012,SC,43107,660,193.011389749702
2012,SD,48362,974,149.847347580138
2012,MO,45321,418,197.447634107806
2012,NY,56448,371,227.804231608248
2012,NM,42558,902,194.98526222283
2012,TN,42764,579,219.592839105522
2012,VA,61741,410,217.189371351336
2012,WA,57573,595,204.386807648934
2012,IA,50957,431,201.50634647924
2012,CO,56765,594,181.144196347501
2012,MT,45076,1092,153.164471153846
2012,NV,49760,826,183.642834343287
2012,GA,47209,378,196.708035406324
2012,LA,42944,680,212.769598740382
2012,OH,46829,293,226.878950741316
2012,MA,65339,645,214.009479897508
2012,NJ,69667,716,99.3345188343994
2012,PA,51230,265,217.174901001718
2012,IL,55137,408,201.416657260832
2011,VT,52776,1420,173.553070539419
2011,AZ,46709,554,187.899569722617
2011,TN,41693,423,215.274432133321
2011,AL,41415,550,210.244272579773
2011,IL,53234,511,198.57697933703
2011,NE,50296,687,187.917065704331
2011,WY,56322,1890,338.628309859155
2011,OH,45749,319,216.537286479362
2011,CT,65753,854,212.665482895171
2011,KS,48964,756,165.043957390146
2011,NY,55246,398,224.25175332285
2011,NV,48927,1020,183.164307618711
2011,MI,45981,330,202.434989040448
2011,WA,56835,569,194.659961096431
2011,OR,46816,711,199.330686092619
2011,ID,43341,1320,153.247941074523
2011,NC,43916,519,204.043536037185
2011,ND,51704,1260,186.069277899344
2011,MT,44222,1078,165.533917748918
2011,NJ,67458,721,109.16925
2011,DC,63124,2407,213.701494466561
2011,MA,62859,902,201.298117936345
2011,CO,55387,605,178.961389826563
2011,OK,43225,607,215.653099156965
2011,LA,41734,528,195.767741487817
2011,CA,57287,279,207.748330736422
2011,TX,49392,391,217.792350839854
2011,NM,41963,803,192.764079236277
2011,WI,50395,428,168.148725317154
2011,VA,61882,507,205.351295655619
2011,IA,49427,693,207.065816361168
2011,MS,36919,583,179.153698254364
2011,GA,46007,454,198.312032152453
2011,IN,46438,455,202.986471713367
2011,MO,45247,529,188.07414996575
2011,FL,44299,406,178.469227004296
2011,PA,50228,292,205.79968586854
2011,SC,42367,559,184.967191491477
2011,SD,48321,1598,145.496152623211
2011,MN,56954,488,220.590024510389
2011,UT,55869,805,202.596657095813
2011,ME,46033,802,165.929695067265
2011,KY,41141,464,214.164914356131
2011,AR,38758,761,216.60120998433
2010,WA,55631,550,184.091381104774
2010,KS,48257,870,150.071588385995
2010,CO,54046,729,164.957367689165
2010,AL,40474,472,192.728137855878
2010,TX,48615,347,200.208524408583
2010,NY,54148,376,205.136851569309
2010,MI,45413,306,188.08653902439
2010,OR,46560,542,189.613141849139
2010,IN,44613,452,172.801785409678
2010,ME,45815,953,161.279506351503
2010,MS,36851,635,163.919557160048
2010,VA,60674,457,175.812103434129
2010,IL,52972,439,182.314042207029
2010,ID,43490,1005,137.857528944065
2010,FL,44409,324,163.657223261588
2010,LA,42505,707,181.446077557536
2010,NM,42090,734,177.371068333746
2010,KY,40062,502,188.017137557243
2010,CT,64032,1092,208.212208339345
2010,WY,53512,1894,274.642234636872
2010,GA,46430,470,179.35819169956
2010,AR,38307,643,199.185858413133
2010,DC,60903,1540,196.585776260501
2010,WI,49001,500,144.694577878021
2010,NJ,67681,763,107.516860122699
2010,OH,45090,294,192.710827976896
2010,MN,55459,457,205.482141126839
2010,NV,51001,792,170.03329848297
2010,ND,48670,1575,147.335098280098
2010,IA,47961,647,182.256355967363
2010,VT,49406,1483,170.301541811847
2010,UT,54744,625,187.892299168975
2010,SD,45904,1215,146.492219251337
2010,NC,43326,370,184.145224162676
2010,SC,42018,424,187.856811792417
2010,OK,42072,407,194.618172756297
2010,MA,62072,408,191.344746121021
2010,MT,42666,1130,151.286182336182
2010,TN,41461,403,196.040368856218
2010,MO,44301,507,174.282958016542
2010,PA,49288,433,184.994381112415
2010,AZ,46789,531,178.510710046912
2010,NE,48408,904,173.616536839992
2010,CA,57708,354,189.281721599455
2009,VA,59330,482,160.654530438192
2009,NJ,68342,659,105.233044846577
2009,ME,45734,935,144.944794812869
2009,ID,44926,953,127.312380594465
2009,MI,45255,358,167.786397732764
2009,NV,53341,981,151.509199839362
2009,NM,43028,1033,160.307661118829
2009,GA,47590,414,165.415366157609
2009,SD,45043,1214,152.009841584158
2009,CO,55430,704,155.343946097322
2009,TX,48259,244,178.968066657163
2009,ND,47827,995,150.131607142857
2009,NC,43674,375,164.870500590284
2009,CT,67034,993,188.484245883394
2009,OK,41664,502,174.96897131722
2009,AL,40489,528,185.307553920508
2009,NE,47357,804,153.688184162501
2009,AZ,48745,484,160.528072884347
2009,WI,49993,405,142.828047825603
2009,AR,37823,629,178.139572724292
2009,DC,59290,1710,182.181821108143
2009,MO,45229,519,157.073038117479
2009,OH,45395,350,170.572308561386
2009,TN,41725,439,174.720913843712
2009,IN,45424,455,157.722695900607
2009,KY,40072,535,173.48945075393
2009,FL,44736,290,151.853113091526
2009,NY,54659,396,183.179664371483
2009,IA,48044,426,176.824964847673
2009,MA,64081,680,179.491321639004
2009,IL,53966,404,163.341572985467
2009,MT,42322,1073,134.808231578947
2009,MN,55616,546,181.555790356935
2009,WY,52664,1877,278.22
2009,SC,42442,565,168.818566312997
2009,LA,42492,629,163.540170224449
2009,WA,56548,528,165.288802510331
2009,VT,51618,950,140.98871634169
2009,OR,48457,623,173.36990610687
2009,CA,58931,274,168.252974770381
2009,KS,47817,670,144.522119158045
2009,PA,49520,286,163.575337487962
2009,MS,36646,695,159.930649601545
2009,UT,55117,803,162.366320748368
2008,VA,61233,435,178.967907988657
2008,UT,56633,705,173.600318796918
2008,MT,43654,1263,141.735730519481
2008,OR,50169,523,181.191108465827
2008,ME,46581,892,163.842955501051
2008,NC,46549,423,190.496619720365
2008,CO,56993,623,174.78834298322
2008,NE,49693,811,168.744304958919
2008,IN,47966,539,173.318176712842
2008,GA,50861,410,183.091277853142
2008,ID,47576,961,127.597586598524
2008,FL,47778,351,163.364095024579
2008,TN,43614,425,184.991063362029
2008,CA,61021,236,185.831697395238
2008,NM,43508,912,171.495884640487
2008,MS,37790,676,149.67010497067
2008,KS,50177,478,174.602712011577
2008,KY,41538,446,182.007056749311
2008,VT,52104,980,152.358019266917
2008,DC,57936,2402,201.02681241927
2008,MO,46867,373,172.637565618745
2008,IL,56235,363,180.430644891326
2008,WA,58078,575,183.607839508481
2008,WI,52094,357,178.099659167302
2008,CT,68595,1131,210.348288062721
2008,SC,44625,633,177.477141427815
2008,MA,65401,597,207.658877192844
2008,TX,50043,220,190.732000861139
2008,MN,57288,520,228.941833209403
2008,NV,56361,793,161.796924958663
2008,IA,48980,643,210.106420923293
2008,PA,50713,260,180.177889933748
2008,ND,45685,974,171.326489563567
2008,NJ,70378,516,109.801016906063
2008,AL,42666,682,187.349959439528
2008,WY,53207,1992,366.79
2008,MI,48591,421,178.990735523447
2008,NY,56033,380,205.620260929377
2008,LA,43733,631,175.210875394602
2008,OK,42822,713,179.679319027737
2008,AR,38815,702,182.704397840999
2008,OH,47988,317,198.786446487984
2008,SD,46032,1172,154.189008264463
2008,AZ,50958,511,170.818120912247
2007,IL,54124,370,159.472103572951
2007,PA,48576,297,167.17536178933
2007,ND,43753,1205,145.771532467532
2007,KY,40267,522,172.387382873795
2007,ID,46253,755,124.036964445438
2007,MS,36338,686,144.762279040404
2007,AZ,49889,508,157.101129326496
2007,SC,43329,635,168.58691405824
2007,NJ,67035,573,119.026368089573
2007,IN,47448,378,166.534413962264
2007,MN,55802,605,194.791505544595
2007,WA,55591,501,182.991523029472
2007,DC,54317,1984,180.834176946129
2007,CT,65967,815,195.3798536574
2007,IA,47292,577,194.17501211754
2007,CO,55212,650,168.956034698795
2007,OK,41567,395,166.194626294977
2007,VA,59562,589,172.413071473751
2007,AL,40554,428,176.758717357432
2007,GA,49136,488,188.686270885875
